2023-12-06 22:02:18,669 INFO    StreamThr :22535 [internal.py:wandb_internal():86] W&B internal server running at pid: 22535, started at: 2023-12-06 22:02:18.662866
2023-12-06 22:02:18,670 DEBUG   HandlerThread:22535 [handler.py:handle_request():146] handle_request: status
2023-12-06 22:02:18,681 INFO    WriterThread:22535 [datastore.py:open_for_write():85] open: /data/wenbo_guo/projects/Visual-Jailbreak-Language-Models/wandb/run-20231206_220218-v4mfrrpa/run-v4mfrrpa.wandb
2023-12-06 22:02:18,691 DEBUG   SenderThread:22535 [sender.py:send():380] send: header
2023-12-06 22:02:18,882 DEBUG   SenderThread:22535 [sender.py:send():380] send: run
2023-12-06 22:02:19,202 INFO    SenderThread:22535 [dir_watcher.py:__init__():211] watching files in: /data/wenbo_guo/projects/Visual-Jailbreak-Language-Models/wandb/run-20231206_220218-v4mfrrpa/files
2023-12-06 22:02:19,202 INFO    SenderThread:22535 [sender.py:_start_run_threads():1124] run started: v4mfrrpa with start time 1701900138.673402
2023-12-06 22:02:19,216 DEBUG   HandlerThread:22535 [handler.py:handle_request():146] handle_request: check_version
2023-12-06 22:02:19,216 DEBUG   SenderThread:22535 [sender.py:send_request():407] send_request: check_version
2023-12-06 22:02:19,335 DEBUG   HandlerThread:22535 [handler.py:handle_request():146] handle_request: run_start
2023-12-06 22:02:19,347 DEBUG   HandlerThread:22535 [system_info.py:__init__():32] System info init
2023-12-06 22:02:19,348 DEBUG   HandlerThread:22535 [system_info.py:__init__():47] System info init done
2023-12-06 22:02:19,348 INFO    HandlerThread:22535 [system_monitor.py:start():194] Starting system monitor
2023-12-06 22:02:19,348 INFO    SystemMonitor:22535 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-06 22:02:19,348 INFO    HandlerThread:22535 [system_monitor.py:probe():214] Collecting system info
2023-12-06 22:02:19,361 INFO    SystemMonitor:22535 [interfaces.py:start():190] Started cpu monitoring
2023-12-06 22:02:19,376 INFO    SystemMonitor:22535 [interfaces.py:start():190] Started disk monitoring
2023-12-06 22:02:19,379 INFO    SystemMonitor:22535 [interfaces.py:start():190] Started gpu monitoring
2023-12-06 22:02:19,380 INFO    SystemMonitor:22535 [interfaces.py:start():190] Started memory monitoring
2023-12-06 22:02:19,380 INFO    SystemMonitor:22535 [interfaces.py:start():190] Started network monitoring
2023-12-06 22:02:19,382 DEBUG   HandlerThread:22535 [system_info.py:probe():196] Probing system
2023-12-06 22:02:19,424 DEBUG   HandlerThread:22535 [system_info.py:_probe_git():181] Probing git
2023-12-06 22:02:19,640 DEBUG   HandlerThread:22535 [system_info.py:_probe_git():189] Probing git done
