2023-12-08 22:12:23,400 INFO    StreamThr :105232 [internal.py:wandb_internal():86] W&B internal server running at pid: 105232, started at: 2023-12-08 22:12:23.399688
2023-12-08 22:12:23,401 DEBUG   HandlerThread:105232 [handler.py:handle_request():146] handle_request: status
2023-12-08 22:12:23,407 INFO    WriterThread:105232 [datastore.py:open_for_write():85] open: /data/wenbo_guo/projects/Visual-Jailbreak-Language-Models/wandb/run-20231208_221223-d6wqo9q1/run-d6wqo9q1.wandb
2023-12-08 22:12:23,408 DEBUG   SenderThread:105232 [sender.py:send():380] send: header
2023-12-08 22:12:23,510 DEBUG   SenderThread:105232 [sender.py:send():380] send: run
2023-12-08 22:12:23,767 INFO    SenderThread:105232 [dir_watcher.py:__init__():211] watching files in: /data/wenbo_guo/projects/Visual-Jailbreak-Language-Models/wandb/run-20231208_221223-d6wqo9q1/files
2023-12-08 22:12:23,768 INFO    SenderThread:105232 [sender.py:_start_run_threads():1124] run started: d6wqo9q1 with start time 1702073543.402131
2023-12-08 22:12:23,775 DEBUG   HandlerThread:105232 [handler.py:handle_request():146] handle_request: check_version
2023-12-08 22:12:23,775 DEBUG   SenderThread:105232 [sender.py:send_request():407] send_request: check_version
2023-12-08 22:12:23,823 DEBUG   HandlerThread:105232 [handler.py:handle_request():146] handle_request: run_start
2023-12-08 22:12:23,838 DEBUG   HandlerThread:105232 [system_info.py:__init__():32] System info init
2023-12-08 22:12:23,838 DEBUG   HandlerThread:105232 [system_info.py:__init__():47] System info init done
2023-12-08 22:12:23,838 INFO    HandlerThread:105232 [system_monitor.py:start():194] Starting system monitor
2023-12-08 22:12:23,838 INFO    SystemMonitor:105232 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-08 22:12:23,838 INFO    HandlerThread:105232 [system_monitor.py:probe():214] Collecting system info
2023-12-08 22:12:23,839 INFO    SystemMonitor:105232 [interfaces.py:start():190] Started cpu monitoring
2023-12-08 22:12:23,840 INFO    SystemMonitor:105232 [interfaces.py:start():190] Started disk monitoring
2023-12-08 22:12:23,840 INFO    SystemMonitor:105232 [interfaces.py:start():190] Started gpu monitoring
2023-12-08 22:12:23,842 INFO    SystemMonitor:105232 [interfaces.py:start():190] Started memory monitoring
2023-12-08 22:12:23,842 INFO    SystemMonitor:105232 [interfaces.py:start():190] Started network monitoring
2023-12-08 22:12:23,868 DEBUG   HandlerThread:105232 [system_info.py:probe():196] Probing system
2023-12-08 22:12:23,882 DEBUG   HandlerThread:105232 [system_info.py:_probe_git():181] Probing git
2023-12-08 22:12:23,900 DEBUG   HandlerThread:105232 [system_info.py:_probe_git():189] Probing git done
2023-12-08 22:12:23,901 DEBUG   HandlerThread:105232 [system_info.py:probe():244] Probing system done
